sentence1,sentence2,score,source,pair_type,topic,split
Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,0.139075,synthetic,related,siyaset,train
Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,Antalyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.101092,synthetic,unrelated,hava|spor,train
Kayseri'da çıkan yangın itfaiye ekiplerince söndürüldü.,Popüler uygulama akıllı telefon için yeni güncelleme yayınladı.,0.169799,synthetic,unrelated,asayis|teknoloji,train
Dolar kuru güne yüzde 6 yükselişle başladı.,Teknoloji şirketi yeni akıllı telefon tanıttı.,0.184453,synthetic,unrelated,ekonomi|teknoloji,train
Uzmanlar boğaz enfeksiyonu vakalarındaki artışa dikkat çekti.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.084218,synthetic,unrelated,saglik|teknoloji,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Aydın'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.163398,synthetic,unrelated,teknoloji|asayis,train
Popüler sunucu eşiyle İstanbul'da tatil yaparken görüntülendi.,Popüler sunucu ve eşinin İstanbul tatilinden kareler paylaşıldı.,0.963113,synthetic,paraphrase,magazin,train
Ünlü model eşiyle İzmir'da tatil yaparken görüntülendi.,Ünlü model ve eşinin İzmir tatilinden kareler paylaşıldı.,0.959907,synthetic,paraphrase,magazin,train
Yıllık enflasyon yüzde 31 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 31 olarak duyurdu.,0.958414,synthetic,paraphrase,ekonomi,train
Çin'de meydana gelen depremde maddi hasar oluştu.,Ekmek fiyatları son bir ayda yüzde 27 arttı.,0.186346,synthetic,unrelated,dunya|ekonomi,train
"Samsunspor, sahasında Sivasspor'yi 0-2 mağlup etti.",Ankara'da meydana gelen trafik kazasında 3 kişi yaralandı.,0.141973,synthetic,unrelated,spor|asayis,train
İspanya iklim zirvesine ev sahipliği yapıyor.,Uzmanlar boğaz enfeksiyonu vakalarındaki artışa dikkat çekti.,0.133632,synthetic,unrelated,dunya|saglik,train
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Borsa İstanbul günü yüzde 9 değişimle kapattı.,0.19258,synthetic,unrelated,teknoloji|ekonomi,train
"Sivasspor, Göztepe karşısında sahadan 3-1 galip ayrıldı.",Sivasspor evinde Göztepe'yi 3-1'lik skorla yendi.,0.895547,synthetic,paraphrase,spor,train
Meteoroloji Konya için kuvvetli yağış uyarısı yaptı.,Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,0.098452,synthetic,unrelated,hava|siyaset,train
ünlü model eşinden boşandığını duyurdu.,"sevilen sanatçı, Konya'da tatilde görüntülendi.",0.232447,synthetic,related,magazin,train
Borsa İstanbul günü yüzde 8 değişimle kapattı.,Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,0.14438,synthetic,unrelated,ekonomi|hava,train
Adana'da çıkan yangın itfaiye ekiplerince söndürüldü.,Trabzon'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.208808,synthetic,related,asayis,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Galatasaray'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.082565,synthetic,unrelated,saglik|spor,train
Ankara'da sıcaklık 44 dereceye ulaştı.,Bolu'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.157093,synthetic,unrelated,hava|asayis,train
Ünlü sunucu eşiyle İzmir'da tatil yaparken görüntülendi.,Ünlü sunucu ve eşinin İzmir tatilinden kareler paylaşıldı.,0.960151,synthetic,paraphrase,magazin,train
Adana'da meydana gelen trafik kazasında 4 kişi yaralandı.,İspanya iklim zirvesine ev sahipliği yapıyor.,0.012604,synthetic,unrelated,asayis|dunya,train
Antalya'da sıcaklık 41 dereceye ulaştı.,Merkez Bankası politika faizini sabit tuttu.,0.170867,synthetic,unrelated,hava|ekonomi,train
"Beşiktaş, Kayserispor karşısında sahadan 4-2 galip ayrıldı.",Beşiktaş evinde Kayserispor'yi 4-2'lik skorla yendi.,0.860328,synthetic,paraphrase,spor,train
Aydın ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Aydın için sağanak uyarısında bulundu.,0.729279,synthetic,paraphrase,hava,train
"Trabzonspor, Fenerbahçe karşısında sahadan 1-1 galip ayrıldı.",Trabzonspor evinde Fenerbahçe'yi 1-1'lik skorla yendi.,0.870247,synthetic,paraphrase,spor,train
Ödeme emrine borçlu 7 gün içinde itiraz edebilir.,Tapu iptali ve tescil davası Asliye Hukuk Mahkemesi’nde açılır.,0.374089,manual,manual,,train
iktidar partisi yeni yasa teklifini meclise sundu.,İngiltere'de yapılan seçimleri muhalefet kazandı.,0.18108,synthetic,unrelated,siyaset|dunya,train
Üsküdar Belediyesi'nde başkanvekili seçiminde küfür ve hakaretler,Üsküdar Belediyesi'nde başkanvekili seçimi yapıldı ve seçimde gerginlik çıktı.,0.8152,manual,manual,,train
"Adana Demirspor, yıldız futbolcuyla sözleşme yeniledi.",Cumhurbaşkanı Japonya'e resmi ziyarette bulundu.,0.096375,synthetic,unrelated,spor|siyaset,train
Meteoroloji Gaziantep için kuvvetli yağış uyarısı yaptı.,Trabzon'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.188688,synthetic,unrelated,hava|asayis,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.339909,synthetic,related,saglik,train
Alanyaspor teknik direktörüyle yollarını ayırdı.,Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,0.071899,synthetic,unrelated,spor|siyaset,train
Meteoroloji Samsun için kuvvetli yağış uyarısı yaptı.,Bursa'da sıcaklık 31 dereceye ulaştı.,0.301707,synthetic,related,hava,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.123161,synthetic,unrelated,saglik|teknoloji,train
Denizli'da meydana gelen trafik kazasında 4 kişi yaralandı.,iktidar partisi yeni yasa teklifini meclise sundu.,0.047503,synthetic,unrelated,asayis|siyaset,train
Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,0.760287,synthetic,related,siyaset,train
"ünlü sunucu, Gaziantep'da tatilde görüntülendi.","usta oyuncu, Eskişehir'da tatilde görüntülendi.",0.651009,synthetic,related,magazin,train
Teknoloji şirketi yeni elektrikli otomobil tanıttı.,Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,0.406612,synthetic,related,teknoloji,train
İngiltere'de meydana gelen depremde maddi hasar oluştu.,Cumhurbaşkanı İtalya'e resmi ziyarette bulundu.,0.141402,synthetic,unrelated,dunya|siyaset,train
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,İzmir'da sıcaklık 35 dereceye ulaştı.,0.11938,synthetic,unrelated,siyaset|hava,train
Yıllık enflasyon yüzde 18 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 18 olarak duyurdu.,0.963846,synthetic,paraphrase,ekonomi,train
ünlü şarkıcı yeni projesiyle ekranlara dönüyor.,Almanya'de yapılan seçimleri muhalefet kazandı.,0.06445,synthetic,unrelated,magazin|dunya,train
Liderler Rusya'de düzenlenen zirvede bir araya geldi.,Rusya'deki zirvede liderler önemli konuları görüştü.,0.801391,synthetic,paraphrase,siyaset,train
Diyarbakır'da iki aracın çarpışması sonucu 3 kişi yaralandı.,Diyarbakır'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.90565,synthetic,paraphrase,asayis,train
Ankara'da çıkan yangın itfaiye ekiplerince söndürüldü.,ünlü şarkıcı yeni projesiyle ekranlara dönüyor.,0.069332,synthetic,unrelated,asayis|magazin,train
Yıllık enflasyon yüzde 4 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 4 olarak duyurdu.,0.952989,synthetic,paraphrase,ekonomi,train
İngiltere iklim zirvesine ev sahipliği yapıyor.,Yunanistan iklim zirvesine ev sahipliği yapıyor.,0.67093,synthetic,related,dunya,train
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,İstanbul'a mevsimin ilk karı düştü.,0.110719,synthetic,unrelated,saglik|hava,train
koalisyon ortağı yeni yasa teklifini meclise sundu.,popüler sunucu sürpriz bir törenle dünyaevine girdi.,0.191621,synthetic,unrelated,siyaset|magazin,train
Konyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Samsunspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.873163,synthetic,related,spor,train
"Enflasyonun %60'tan %30'a inmesi, fiyatların düştüğü anlamına gelmiyor.",Bitcoin dijital altın olma yolunda ilerliyor.,0.099956,manual,manual,,train
İzmir'a mevsimin ilk karı düştü.,İstanbul'da sıcaklık 36 dereceye ulaştı.,0.226667,synthetic,related,hava,train
Liderler Japonya'de düzenlenen zirvede bir araya geldi.,Japonya'deki zirvede liderler önemli konuları görüştü.,0.80601,synthetic,paraphrase,siyaset,train
Patates fiyatları son bir ayda yüzde 6 arttı.,Trabzon'da sıcaklık 34 dereceye ulaştı.,0.123167,synthetic,unrelated,ekonomi|hava,train
Sevilen komedyen eşiyle Aydın'da tatil yaparken görüntülendi.,Sevilen komedyen ve eşinin Aydın tatilinden kareler paylaşıldı.,0.944418,synthetic,paraphrase,magazin,train
Geçen yıl tek celsede eşini boşayan ünlü şarkıcı yeni bir aşka yelken açtı.,"Milletler Ligi Şampiyonu Sultanlarımız, yurda döndü",0.119069,manual,manual,,train
Sevilen komedyen eşiyle Konya'da tatil yaparken görüntülendi.,Sevilen komedyen ve eşinin Konya tatilinden kareler paylaşıldı.,0.966826,synthetic,paraphrase,magazin,train
İtalya'de meydana gelen depremde maddi hasar oluştu.,Fransa'de yapılan seçimleri muhalefet kazandı.,0.193118,synthetic,related,dunya,train
"Fenerbahçe, Eyüpspor karşısında sahadan 2-0 galip ayrıldı.",Fenerbahçe evinde Eyüpspor'yi 2-0'lik skorla yendi.,0.890634,synthetic,paraphrase,spor,train
Liderler Hollanda'de düzenlenen zirvede bir araya geldi.,Hollanda'deki zirvede liderler önemli konuları görüştü.,0.8291,synthetic,paraphrase,siyaset,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,0.109576,synthetic,unrelated,teknoloji|hava,train
Yunanistan'de yapılan seçimleri muhalefet kazandı.,Rusya'de meydana gelen depremde maddi hasar oluştu.,0.170672,synthetic,related,dunya,train
koalisyon ortağı yeni yasa teklifini meclise sundu.,Eyüpspor teknik direktörüyle yollarını ayırdı.,-0.013322,synthetic,unrelated,siyaset|spor,train
Meteoroloji Antalya için kuvvetli yağış uyarısı yaptı.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.189033,synthetic,unrelated,hava|teknoloji,train
Sevilen komedyen eşiyle Antalya'da tatil yaparken görüntülendi.,Sevilen komedyen ve eşinin Antalya tatilinden kareler paylaşıldı.,0.969256,synthetic,paraphrase,magazin,train
sevilen sanatçı sürpriz bir törenle dünyaevine girdi.,"sevilen sanatçı, İzmir'da tatilde görüntülendi.",0.393826,synthetic,related,magazin,train
"Trabzonspor, tecrübeli oyuncuyla anlaşmaya vardı.",Trabzonspor deneyimli futbolcuyu kadrosuna kattı.,0.814418,synthetic,paraphrase,spor,train
iktidar partisi yeni yasa teklifini meclise sundu.,popüler sunucu yeni projesiyle ekranlara dönüyor.,0.292243,synthetic,unrelated,siyaset|magazin,train
ABD iklim zirvesine ev sahipliği yapıyor.,Popüler uygulama elektrikli otomobil için yeni güncelleme yayınladı.,0.12527,synthetic,unrelated,dunya|teknoloji,train
Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,İstanbul'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.221311,synthetic,unrelated,saglik|asayis,train
İçişleri Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.456495,synthetic,unrelated,siyaset|teknoloji,train
koalisyon ortağı yeni yasa teklifini meclise sundu.,Sakarya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.061572,synthetic,unrelated,siyaset|asayis,train
Japonya iklim zirvesine ev sahipliği yapıyor.,Trabzonspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,-0.025169,synthetic,unrelated,dunya|spor,train
İspanya'de yapılan seçimleri muhalefet kazandı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.16924,synthetic,unrelated,dunya|saglik,train
Genç sporcu dünya rekoru kırarak tarihe geçti.,"Türk atlet, kendi branşında dünya rekoruna imza attı.",0.753869,manual,manual,,train
"Galatasaray, sahasında Göztepe'yi 2-2 mağlup etti.",Uzmanlar alerji vakalarındaki artışa dikkat çekti.,0.060413,synthetic,unrelated,spor|saglik,train
Popüler uygulama işletim sistemi için yeni güncelleme yayınladı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.150334,synthetic,related,teknoloji,train
Konya'a mevsimin ilk karı düştü.,Samsunspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.23792,synthetic,unrelated,hava|spor,train
Fenomen isim sevgilisiyle nişanlandı.,Fenomen isim mutlu haberi nişan yüzükleriyle duyurdu.,0.665664,synthetic,paraphrase,magazin,train
Ünlü model eşiyle Ankara'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Ankara tatilinden kareler paylaşıldı.,0.961135,synthetic,paraphrase,magazin,train
Liderler Yunanistan'de düzenlenen zirvede bir araya geldi.,Yunanistan'deki zirvede liderler önemli konuları görüştü.,0.795476,synthetic,paraphrase,siyaset,train
Üniversite sınav sistemi yeniden düzenleneceğini duyurdu.,"YÖK, sınav sistemine dair yeni düzenleme yapacağını açıkladı.",0.76176,manual,manual,,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Konya'da sıcaklık 36 dereceye ulaştı.,0.117928,synthetic,unrelated,saglik|hava,train
Fransa iklim zirvesine ev sahipliği yapıyor.,Popüler uygulama akıllı telefon için yeni güncelleme yayınladı.,0.103317,synthetic,unrelated,dunya|teknoloji,train
fenomen isim eşinden boşandığını duyurdu.,İspanya iklim zirvesine ev sahipliği yapıyor.,0.049874,synthetic,unrelated,magazin|dunya,train
Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,Uzmanlar grip vakalarındaki artışa dikkat çekti.,0.913279,synthetic,related,saglik,train
İstanbul'da iki aracın çarpışması sonucu 6 kişi yaralandı.,İstanbul'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.888913,synthetic,paraphrase,asayis,train
Gaziantep'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Gaziantep'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.823129,synthetic,paraphrase,asayis,train
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Diyarbakır'da meydana gelen trafik kazasında 1 kişi yaralandı.,0.140364,synthetic,unrelated,teknoloji|asayis,train
Genç oyuncu yeni bir aşka yelken açtı.,Genç oyuncu yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.841993,synthetic,paraphrase,magazin,train
Borsa İstanbul günü yüzde 25 değişimle kapattı.,Fransa iklim zirvesine ev sahipliği yapıyor.,0.037339,synthetic,unrelated,ekonomi|dunya,train
Yıllık enflasyon yüzde 21 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 21 olarak duyurdu.,0.960854,synthetic,paraphrase,ekonomi,train
Dolar kuru güne yüzde 40 yükselişle başladı.,Hollanda'de meydana gelen depremde maddi hasar oluştu.,0.210295,synthetic,unrelated,ekonomi|dunya,train
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,Cumhurbaşkanı İspanya'e resmi ziyarette bulundu.,0.7181,synthetic,related,siyaset,train
Zeytinyağı fiyatları son bir ayda yüzde 23 arttı.,Borsa İstanbul günü yüzde 11 değişimle kapattı.,0.260646,synthetic,related,ekonomi,train
İngiltere'de yapılan seçimleri muhalefet kazandı.,Merkez Bankası politika faizini sabit tuttu.,0.175784,synthetic,unrelated,dunya|ekonomi,train
Popüler sunucu yeni bir aşka yelken açtı.,Popüler sunucu yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.822835,synthetic,paraphrase,magazin,train
Mecliste grubu bulunan bir parti yeni kanun teklifine ilişkin açıklama yaptı.,Mecliste grubu bulunan bir parti hazırladığı yasa teklifini kamuoyuna duyurdu.,0.852572,synthetic,paraphrase,siyaset,train
"Gaziantep FK, ligi lider tamamlayarak şampiyonluğa ulaştı.",Gaziantep FK sezonu zirvede bitirip şampiyon oldu.,0.922603,synthetic,paraphrase,spor,train
Antalya'da meydana gelen trafik kazasında 1 kişi yaralandı.,Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,0.19724,synthetic,unrelated,asayis|hava,train
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Teknoloji şirketi yeni elektrikli otomobil tanıttı.,0.384843,synthetic,related,teknoloji,train
Muğla'a mevsimin ilk karı düştü.,Bursa'a mevsimin ilk karı düştü.,0.731569,synthetic,related,hava,train
Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Teknoloji şirketi yeni dizüstü bilgisayar tanıttı.,0.381071,synthetic,unrelated,siyaset|teknoloji,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Borsa İstanbul günü yüzde 16 değişimle kapattı.,0.176954,synthetic,unrelated,teknoloji|ekonomi,train
Galatasaray teknik direktörüyle yollarını ayırdı.,Meteoroloji Sakarya için kuvvetli yağış uyarısı yaptı.,0.127979,synthetic,unrelated,spor|hava,train
Aydın'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.188571,synthetic,unrelated,asayis|saglik,train
Popüler uygulama akıllı telefon için yeni güncelleme yayınladı.,Teknoloji şirketi yeni elektrikli otomobil tanıttı.,0.39338,synthetic,related,teknoloji,train
Borsa İstanbul günü yüzde 36 değişimle kapattı.,ana muhalefet partisi yeni yasa teklifini meclise sundu.,0.116615,synthetic,unrelated,ekonomi|siyaset,train
Muğla'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Muğla'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.892352,synthetic,paraphrase,asayis,train
Denizli'a mevsimin ilk karı düştü.,Bursa'da sıcaklık 30 dereceye ulaştı.,0.18802,synthetic,related,hava,train
Samsunspor teknik direktörüyle yollarını ayırdı.,Başakşehir teknik direktörüyle yollarını ayırdı.,0.731675,synthetic,related,spor,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Zeytinyağı fiyatları son bir ayda yüzde 40 arttı.,0.138716,synthetic,unrelated,teknoloji|ekonomi,train
Ödüllü yönetmen eşiyle İzmir'da tatil yaparken görüntülendi.,Ödüllü yönetmen ve eşinin İzmir tatilinden kareler paylaşıldı.,0.959995,synthetic,paraphrase,magazin,train
Yıllık enflasyon yüzde 34 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 34 olarak duyurdu.,0.958235,synthetic,paraphrase,ekonomi,train
Dolar kuru güne yüzde 27 yükselişle başladı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.151717,synthetic,unrelated,ekonomi|teknoloji,train
Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.368011,synthetic,unrelated,teknoloji|siyaset,train
"ünlü şarkıcı, İstanbul'da tatilde görüntülendi.",ünlü sunucu sürpriz bir törenle dünyaevine girdi.,0.332889,synthetic,related,magazin,train
Milli Eğitim Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,İngiltere iklim zirvesine ev sahipliği yapıyor.,0.052325,synthetic,unrelated,siyaset|dunya,train
"Kasımpaşa, Gaziantep FK karşısında sahadan 4-1 galip ayrıldı.",Kasımpaşa evinde Gaziantep FK'yi 4-1'lik skorla yendi.,0.90637,synthetic,paraphrase,spor,train
"Hatayspor, tecrübeli oyuncuyla anlaşmaya vardı.",Hatayspor deneyimli futbolcuyu kadrosuna kattı.,0.809591,synthetic,paraphrase,spor,train
İtalya'de meydana gelen depremde maddi hasar oluştu.,Fransa'de meydana gelen depremde maddi hasar oluştu.,0.774438,synthetic,related,dunya,train
Ünlü oyuncu ve eşi Bodrum'da tatil yaparken görüntülendi.,Ünlü oyuncu ve eşinin tatil yaptığı görüntüler görenleri şaşırttı.,0.787526,manual,manual,,train
usta oyuncu eşinden boşandığını duyurdu.,popüler sunucu eşinden boşandığını duyurdu.,0.860225,synthetic,related,magazin,train
Hollanda iklim zirvesine ev sahipliği yapıyor.,Bolu'da sıcaklık 36 dereceye ulaştı.,0.342122,synthetic,unrelated,dunya|hava,train
Denizli'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Muğla'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.843347,synthetic,related,asayis,train
Bolu'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Bolu'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.88786,synthetic,paraphrase,asayis,train
Uzmanlar alerji vakalarındaki artışa dikkat çekti.,"Kasımpaşa, yıldız futbolcuyla sözleşme yeniledi.",0.146872,synthetic,unrelated,saglik|spor,train
"Trabzonspor, sahasında Sivasspor'yi 2-1 mağlup etti.",Ankara'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.080966,synthetic,unrelated,spor|asayis,train
Bursa'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Bursa'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.838202,synthetic,paraphrase,asayis,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Borsa İstanbul günü yüzde 27 değişimle kapattı.,0.11479,synthetic,unrelated,saglik|ekonomi,train
Borsa İstanbul günü yüzde 7 değişimle kapattı.,Merkez Bankası politika faizini sabit tuttu.,0.212125,synthetic,related,ekonomi,train
Galatasaray teknik direktörüyle yollarını ayırdı.,Merkez Bankası politika faizini sabit tuttu.,0.037069,synthetic,unrelated,spor|ekonomi,train
Kayseri'da sıcaklık 41 dereceye ulaştı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.088384,synthetic,unrelated,hava|teknoloji,train
Sivasspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,0.063646,synthetic,unrelated,spor|teknoloji,train
Bolu'da meydana gelen trafik kazasında 4 kişi yaralandı.,"Fenerbahçe, yıldız futbolcuyla sözleşme yeniledi.",0.099944,synthetic,unrelated,asayis|spor,train
pop yıldızı eşinden boşandığını duyurdu.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.136205,synthetic,unrelated,magazin|saglik,train
Genç oyuncu eşiyle İstanbul'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin İstanbul tatilinden kareler paylaşıldı.,0.955131,synthetic,paraphrase,magazin,train
Yunanistan iklim zirvesine ev sahipliği yapıyor.,İstanbul'a mevsimin ilk karı düştü.,0.17229,synthetic,unrelated,dunya|hava,train
Ünlü model eşiyle Sakarya'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.959614,synthetic,paraphrase,magazin,train
"Konyaspor, Alanyaspor karşısında sahadan 3-2 galip ayrıldı.",Konyaspor evinde Alanyaspor'yi 3-2'lik skorla yendi.,0.894099,synthetic,paraphrase,spor,train
Ünlü sunucu eşiyle Konya'da tatil yaparken görüntülendi.,Ünlü sunucu ve eşinin Konya tatilinden kareler paylaşıldı.,0.960666,synthetic,paraphrase,magazin,train
genç oyuncu eşinden boşandığını duyurdu.,"Eyüpspor, yıldız futbolcuyla sözleşme yeniledi.",0.207981,synthetic,unrelated,magazin|spor,train
Yunanistan iklim zirvesine ev sahipliği yapıyor.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.127189,synthetic,related,dunya,train
Liderler ABD'de düzenlenen zirvede bir araya geldi.,ABD'deki zirvede liderler önemli konuları görüştü.,0.767,synthetic,paraphrase,siyaset,train
İtalya'de yapılan seçimleri muhalefet kazandı.,Merkez Bankası politika faizini sabit tuttu.,0.160722,synthetic,unrelated,dunya|ekonomi,train
Çin'de meydana gelen depremde maddi hasar oluştu.,Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.11972,synthetic,unrelated,dunya|siyaset,train
Ankara'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Ankara'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.834327,synthetic,paraphrase,asayis,train
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,Teknoloji şirketi yeni işletim sistemi tanıttı.,0.146167,synthetic,unrelated,siyaset|teknoloji,train
Borsa İstanbul günü yüzde 17 değişimle kapattı.,Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,0.159782,synthetic,unrelated,ekonomi|teknoloji,train
Aydın'da iki aracın çarpışması sonucu 3 kişi yaralandı.,Aydın'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.900468,synthetic,paraphrase,asayis,train
koalisyon ortağı yeni yasa teklifini meclise sundu.,Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,0.158765,synthetic,related,siyaset,train
Bolu ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Bolu için sağanak uyarısında bulundu.,0.639413,synthetic,paraphrase,hava,train
Bolu'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Bolu'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.887055,synthetic,paraphrase,asayis,train
"Gaziantep FK, yıldız futbolcuyla sözleşme yeniledi.",Adana'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.113866,synthetic,unrelated,spor|asayis,train
Japonya'de yapılan seçimleri muhalefet kazandı.,Teknoloji şirketi yeni akıllı telefon tanıttı.,0.157049,synthetic,unrelated,dunya|teknoloji,train
Konya ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Konya için sağanak uyarısında bulundu.,0.715702,synthetic,paraphrase,hava,train
İzmir'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,İzmir'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.836673,synthetic,paraphrase,asayis,train
Hollanda iklim zirvesine ev sahipliği yapıyor.,fenomen isim eşinden boşandığını duyurdu.,0.050813,synthetic,unrelated,dunya|magazin,train
Ankara'a mevsimin ilk karı düştü.,Meteoroloji Bolu için kuvvetli yağış uyarısı yaptı.,0.227717,synthetic,related,hava,train
Denizli'a mevsimin ilk karı düştü.,Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.154413,synthetic,unrelated,hava|siyaset,train
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Sakarya'da sıcaklık 42 dereceye ulaştı.,0.120833,synthetic,unrelated,saglik|hava,train
"Gaziantep FK, Fenerbahçe karşısında sahadan 1-1 galip ayrıldı.",Gaziantep FK evinde Fenerbahçe'yi 1-1'lik skorla yendi.,0.887543,synthetic,paraphrase,spor,train
Yıllık enflasyon yüzde 12 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 12 olarak duyurdu.,0.957221,synthetic,paraphrase,ekonomi,train
