kitap_adi,yazar,cevirmen,yayinevi,kategori,isbn,kapak_tipi,yayin_tarihi,olculeri,orijinal_adi,sayfa_sayisi,indirim_orani,eski_fiyat,satis_fiyati,gorsel_url,ozet,kitap_url
Uzaktan Kumandalı Kız,JAMES TİPTREE JR.,BEGÜM KOVULMAZ,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758082,,2023-01-01,"13,5 x 21",,72,30%,"₺140,00","₺98,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/db15d813-b3a5-4f6b-ae71-3325be613690_uzaktan-kumandali-kiz.webp,"Bedeni kusurlu bir genç, uzaktan yönettiği ideal güzellikteki yapay beden sayesinde tüketim toplumunun yıldızına dönüşür.",https://www.ithakiyayingrubu.com/uzaktan-kumandali-kiz
Resimli Adam,RAY BRADBURY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053757245,,2023-01-01,"13,5 x 21",,264,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/27e56f5b-ca13-4ea4-a557-30ff7c131244_resml-adam.webp,"Vücudundaki dövmeler geceleri canlanarak geleceğe, uzaya ve insan doğasına dair birbirinden farklı öyküler anlatır.",https://www.ithakiyayingrubu.com/resimli-adam-2
Kaplan Kaplan,ALFRED BESTER,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756231,,2023-01-01,"13,5 x 21",,304,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/89eedc48-5c4d-41dc-b596-323952b51902_kaplan-kaplan.webp,"Işınlanmanın sıradanlaştığı gelecekte ölüme terk edilen Gully Foyle, intikam uğruna insanüstü bir dönüşüm geçirir.",https://www.ithakiyayingrubu.com/kaplan-kaplan
Maymunlar Gezegeni,PİERRE BOULLE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053754862,,2023-01-01,"13,5 x 21",,208,30%,"₺200,00","₺140,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/2849ba32-fe82-4c4e-b604-a8d7ad10c0ae_maymunlar-gezegen.webp,"Uzak bir gezegene inen astronotlar, maymunların egemen, insanların ise konuşamayan ve aşağılanan tür olduğu bir toplumla karşılaşır.",https://www.ithakiyayingrubu.com/maymunlar-gezegeni
Doktor Moreau'nun Adası,H.G. WELLS,,İthaki Yayınları,Bilimkurgu Klasikleri,9789758607273,,2023-01-01,"13,5 x 21",,200,30%,"₺180,00","₺126,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/38fc684c-fbc6-4339-a2bf-2e07ba10fc13_doktor-moreaunun-adasi.webp,"Issız bir adada hayvanları insanlaştıran Doktor Moreau'nun deneyleri, doğa, etik ve vahşet arasındaki sınırları bozar.",https://www.ithakiyayingrubu.com/doktor-moreaunun-adasi
Semenderlerle Savaş,KAREL ÇAPEK,,İthaki Yayınları,Bilimkurgu Klasikleri,9786258475456,,2023-01-01,"13,5 x 21",,304,30%,"₺320,00","₺224,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/bef0c365-7c77-4a99-b15e-5a76bf342149_semenderlerle-sava.webp,İnsanlar zeki semenderleri emek gücü olarak kullanmaya başlar; sömürü büyüdükçe türler arası çatışma dünyayı tehdit eder.,https://www.ithakiyayingrubu.com/semenderlerle-savas
Ay Zalim Bir Sevgilidir,ROBERT A. HEİNLEİN,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756590,,2023-01-01,"13,5 x 21",,464,30%,"₺540,00","₺378,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/b90d5bf8-cfcf-4fba-96dd-7c502e7a5b0e_ay-zalm-br-sevgldr.webp,"Ay kolonilerindeki isyancılar, bilinç kazanan bir bilgisayarın yardımıyla Dünya'nın yönetimine karşı bağımsızlık savaşı başlatır.",https://www.ithakiyayingrubu.com/ay-zalim-bir-sevgilidir
Düşyılanı,VONDA N.MCLNTYRE,Aslı Genç,İthaki Yayınları,Bilimkurgu Klasikleri,9786258327939,,2023-01-01,"13,5 x 21",DREAMSNAKE,360,30%,"₺380,00","₺266,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/451b18c4-9ef1-47d0-864f-ea9281a2d9c6_dyilani.webp,"Nükleer felaket sonrası dünyada şifacı Snake, iyileştirici yılanını kaybedince hem hastasını kurtarmak hem de yeni bir yol bulmak zorunda kalır.",https://www.ithakiyayingrubu.com/dusyilani
Mor Bulut,M.P. SHIEL,Selin Kurugül,İthaki Yayınları,Bilimkurgu Klasikleri,9786052655757,,2023-01-01,"13,5 x 21",THE PURPLE CLOUD,344,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/d7ca6ca7-09ab-471b-a751-30e82a19ec72_mor-bulut.webp,"Dünyayı zehirli bir bulut yok ettikten sonra hayatta kaldığını sanan bir adam, yalnızlık ve deliliğin sınırlarında dolaşır.",https://www.ithakiyayingrubu.com/mor-bulut
Biz (Yeni Basım),YEVGENİY İVANOVİÇ ZAMYATİN,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053759935,,2023-01-01,"13,5 x 21",,248,30%,"₺240,00","₺168,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/71119121-f599-4fd7-8787-8c259335a83c_bz-yen-basim.webp,"Numaralarla anılan yurttaşların camdan bir devlette yaşadığı gelecekte D-503, aşk ve hayal gücüyle bireyselliği keşfeder.",https://www.ithakiyayingrubu.com/biz-yeni-basim
Mevki Uygarlığı,ROBERT SHECKLEY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257442459,,2023-01-01,"13,5 x 21",,176,30%,"₺220,00","₺154,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/20b1a547-ef56-42e2-b457-d9341622d16f_mevk-uygarlii.webp,"Toplumsal statünün her şey olduğu bir dünyada, sıradan bir adam yanlışlıkla üst sınıfın hayatına girince sistemin saçmalığını açığa çıkarır.",https://www.ithakiyayingrubu.com/mevki-uygarligi
Lılıth'in Dölü,OCTAVİA E. BUTLER,,İthaki Yayınları,Bilimkurgu Klasikleri,9786258401127,,2023-01-01,"13,5 x 21",,896,30%,"₺820,00","₺574,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/9cad84e1-7e2e-456c-9529-f2f67632eae6_lilithn-dl.webp,"İnsanlığı neredeyse yok eden savaştan sonra Lilith Iyapo, hayatta kalanları genetik olarak değiştiren Oankali'lerle işbirliği yapmaya zorlanır.",https://www.ithakiyayingrubu.com/lilithin-dolu
Kent,CLİFFORD D. SİMAK,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257913454,,2023-01-01,"13,5 x 21",,320,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/2591dd8e-ad73-4da4-b944-7f4378056696_kent.webp,"İnsanlar Dünya'yı terk ederken robotlar ve köpekler, insan soyunun efsaneye dönüştüğü bir geleceğin hikâyelerini anlatır.",https://www.ithakiyayingrubu.com/kent
Liktorun Kılıcı,GENE WOLFE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257650984,,2023-01-01,"13,5 x 21",,304,30%,"₺300,00","₺210,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/9dfe667f-cf34-49d9-96d7-9e02403c59ee_lktorun-kilici.webp,"Severian sürgün yolunda iktidar, sadakat ve geçmişin gizemleriyle yüzleşirken Urth'un daha geniş tarihine yaklaşır.",https://www.ithakiyayingrubu.com/liktorun-kilici
Tanrı Olmak Zor İş,BORİS STRUGATSKİ,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756873,,2023-01-01,"13,5 x 21",,232,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/5517cfa9-3cca-4f3a-b275-d636dd4decd1_tanri-olmak-zor-.webp,"İleri bir uygarlıktan gelen gözlemciler, Ortaçağ benzeri baskıcı bir gezegende müdahale etmeden insanları korumaya çalışır.",https://www.ithakiyayingrubu.com/tanri-olmak-zor-is
"Ben, Efsane",RİCHARD MATHESON,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257913836,,2023-01-01,"13,5 x 21",,208,30%,"₺260,00","₺182,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/0388f243-5e6e-4278-ae70-ec8ee248702c_ben-efsane.webp,"Bir salgın sonrası vampirleşen dünyada son insan olduğuna inanan Robert Neville, hayatta kalma mücadelesi verirken kendi yerini sorgular.",https://www.ithakiyayingrubu.com/ben-efsane
Dünyaya Düşen Adam,WALTER TEVİS,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257913034,,2023-01-01,"13,5 x 21",,232,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/4ba89d41-144a-487e-b62b-b285ff455107_dnyaya-den-adam.webp,"Kendi kurak gezegenini kurtarmak için Dünya'ya gelen uzaylı Thomas Jerome Newton, insan toplumunun tutkularına ve sömürüsüne yenik düşer.",https://www.ithakiyayingrubu.com/dunyaya-dusen-adam
Uzlaştırcının Pençesi,GENE WOLFE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257913089,,2023-01-01,"13,5 x 21",,304,30%,"₺300,00","₺210,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/c42f8ebb-9ba9-4360-af70-197d3d9a68f2_uzlatircinin-penes.webp,"Severian, gizemli bir pençeyle bağlantılı mucizeler ve komplolar arasında Urth'un kaderini belirleyecek yolculuğunu sürdürür.",https://www.ithakiyayingrubu.com/uzlastircinin-pencesi
Yaban Diyarlarında Yabancı,ROBERT A. HEİNLEİN,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758747,,2023-01-01,"13,5 x 21",,712,30%,"₺700,00","₺490,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/bd313bac-d785-4e3b-ba21-adda70b6aaa5_yaban-dyarlarinda-yabanci.webp,"Mars'ta büyüyen Valentine Michael Smith Dünya'ya döner ve insan kültürünü, dini, sevgiyi ve özgürlüğü yabancı gözlerle sorgular.",https://www.ithakiyayingrubu.com/yaban-diyarlarinda-yabanci
Kıyamete Bir Milyar Yıl,BORİS STRUGATSKİ,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053754855,,2023-01-01,"13,5 x 21",,152,30%,"₺200,00","₺140,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/51aab768-ac0d-4565-b940-d6799a14f0c9_kiyamete-br-mlyar-yil.webp,"Bir grup bilim insanı, çalışmalarının ardında evrensel bir yasa ya da görünmez bir güç olup olmadığını araştırırken baskıyla karşılaşır.",https://www.ithakiyayingrubu.com/kiyamete-bir-milyar-yil
Yıldız Gemisi Askerleri,ROBERT A. HEİNLEİN,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053755548,,2023-01-01,"13,5 x 21",,308,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/8439b5ad-592a-4af9-924e-30c333a56a41_yildiz-gems-askerler.webp,"Juan Rico'nun askerlik eğitimi ve uzay savaşları üzerinden yurttaşlık, görev, disiplin ve militarizm tartışılır.",https://www.ithakiyayingrubu.com/yildiz-gemisi-askerleri
Ölüme Yazgılı Şehir,ARKADİ - BORİS STRUGATSKİ,Hazal Yalın,İthaki Yayınları,Bilimkurgu Klasikleri,9786052652862,,2023-01-01,"13,5 x 21",GRAD OBRECHENNYİ,472,30%,"₺550,00","₺385,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/ad176155-47d8-4f22-9e18-ec63587745b8_lme-yazgili-ehr.webp,"Uzaylıların ziyaret ettiği küçük bir Rus kasabasında sıradan yaşam, anlaşılmaz olaylar ve yaklaşan felaket duygusuyla bozulur.",https://www.ithakiyayingrubu.com/olume-yazgili-sehir
Kadınlar Ülkesi,CHARLOTTE PERKİNS GİLMAN,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758723,,2023-01-01,"13,5 x 21",,216,30%,"₺180,00","₺126,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/9f015101-e5a6-49fd-b9be-1bdd029cde94_kadinlar-lkes.webp,"Üç erkek kâşif, kadınların erkekler olmadan barışçıl ve gelişmiş bir toplum kurduğu gizli ülkeyi keşfeder.",https://www.ithakiyayingrubu.com/kadinlar-ulkesi
Pazartesi Cumartesiden Başlar,ARKADİ STRUGATSKİ,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053754787,,2023-01-01,"13,5 x 21",,288,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/30b4f9e4-16dc-4924-853d-7508a6bf90c3_pazartes-cumartesden-balar.webp,"Genç bir programcı, büyü ve bilimle uğraşan tuhaf bir araştırma enstitüsünde bürokrasiyle fantastik olayların iç içe geçtiğini görür.",https://www.ithakiyayingrubu.com/pazartesi-cumartesiden-baslar
Houston Houston Duyuyor Musun?,JAMES TİPTREE JR.,BEGÜM KOVULMAZ,İthaki Yayınları,Bilimkurgu Klasikleri,9786257650526,,2023-01-01,"13,5 x 21",,96,30%,"₺150,00","₺105,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/1746ab3f-4da3-40a9-bc65-46385fb66e4e_houston-houston-duyuyor-musun.webp,"Uzayda kaybolan üç erkek, gelecekte yalnızca kadınların yaşadığı bir Dünya'ya ulaşır ve geçmişin cinsiyet düzeniyle yüzleşir.",https://www.ithakiyayingrubu.com/houston-houston-duyuyor-musun
Fahrenheit 451,RAY BRADBURY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053757818,,2023-01-01,"13,5 x 21",,208,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/f52b88bb-2de8-45b4-adcb-fae87b0a82eb_fahrenhet-451.webp,"Kitapların yasaklandığı gelecekte itfaiyeci Guy Montag, kitap yakma görevini sorgulayarak bilgi ve özgürlük arayışına girer.",https://www.ithakiyayingrubu.com/fahrenheit-451
İşte İnsan,MİCHAEL MOORCOCK,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758211,,2023-01-01,"13,5 x 21",,176,30%,"₺220,00","₺154,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/71536bf1-ab14-4405-b4cb-fa91771b3032_te-nsan.webp,"Zaman yolcusu Karl Glogauer, İsa'nın dönemine giderek tarih, inanç ve Mesih fikrinin beklenmedik yüzüyle karşılaşır.",https://www.ithakiyayingrubu.com/iste-insan
Dünyalar Savaşı,H.G. WELLS,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053757412,,2023-01-01,"13,5 x 21",,256,30%,"₺220,00","₺154,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/7c7fefed-80eb-462e-9965-837a8cc84dda_dnyalar-savai.webp,"Marslılar ileri savaş makineleriyle Dünya'yı işgal eder; anlatıcı, insan uygarlığının kırılganlığını savaşın ortasında deneyimler.",https://www.ithakiyayingrubu.com/dunyalar-savasi
Yakma Zevki:Fahtenheıt 451 Öyküleri,RAY BRADBURY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758198,,2023-01-01,"13,5 x 21",,408,30%,"₺400,00","₺280,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/99e4815a-3187-4138-a063-4fcca50f3242_yakma-zevkfahtenheit-451-ykler.webp,"Fahrenheit 451'in evrenini ve temalarını tamamlayan, kitaplar, sansür ve hayal gücü üzerine Ray Bradbury öyküleri derlemesi.",https://www.ithakiyayingrubu.com/yakma-zevkifahtenheit-451-oykuleri
İşte Tanrılar,ISAAC ASİMOV,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257650724,,2023-01-01,"13,5 x 21",,360,30%,"₺350,00","₺245,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/e4dfe9aa-01bb-422e-9803-5beedf2fd48d_te-tanrilar.webp,"Üç bölümde anlatılan roman, paralel evrenlerden gelen teklifin ardındaki enerji krizini ve insanlığın varoluşsal riskini izler.",https://www.ithakiyayingrubu.com/iste-tanrilar
Uzayda Piknik,BORİS STRUGATSKİ,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053757849,,2023-01-01,"13,5 x 21",,200,30%,"₺220,00","₺154,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/d455e5e0-020a-46e8-8188-1f13a757db7a_uzayda-pknk.webp,"Gizemli bir uzaylı ziyaretinin ardından yasak Bölge'den eser toplayan bir avcı, insan bilgisinin sınırlarıyla karşılaşır.",https://www.ithakiyayingrubu.com/uzayda-piknik
Zaman İçinde Bir Yer,RICHARD MATHERSON,,İthaki Yayınları,Bilimkurgu Klasikleri,9786052653876,,2023-01-01,"13,5 x 21",,328,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/be0a98fa-944c-4473-a22f-b1da1f8c07ea_zaman-nde-br-yer.webp,"Bir senarist, zihninin gücüyle geçmişe giderek 19. yüzyıldan bir kadınla imkânsız bir aşk yaşamaya çalışır.",https://www.ithakiyayingrubu.com/zaman-icinde-bir-yer
Tanrı Nın Gözündeki Zerre,JERRY POURNELLE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257913645,,2023-01-01,"13,5 x 21",,688,30%,"₺650,00","₺455,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/1e636600-36fe-4aa9-96e2-f6f0679a9e50_tanri-nin-gzndek-zerre.webp,"İnsanlar, uzaydaki ilk yabancı uygarlıkla temas kurar; konuksever görünen bu türün hayatta kalma döngüsü büyük bir tehdit taşır.",https://www.ithakiyayingrubu.com/tanri-nin-gozundeki-zerre
Yanan Krom,WİLLİAM GİBSON,SANEM ERDEM,İthaki Yayınları,Bilimkurgu Klasikleri,9786052654514,,2023-01-01,"13,5 x 21",THE BURNİNG CROME,232,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/917ab615-4d55-41cd-af3a-c7858d06c67c_yanan-krom.webp,"Siberuzay, yapay zekâ ve teknolojik dışlanmışlar dünyasında geçen, siberpunk türünün kurucu kısa öyküleri derlemesi.",https://www.ithakiyayingrubu.com/yanan-krom
R. U. R. - Rossum’Un Uluslararası Robotları,KAREL ÇAPEK,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257442251,,2023-01-01,"13,5 x 21",,128,30%,"₺180,00","₺126,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/6d0b8d2a-f36e-48f4-b8d2-8a0c9a464e8b_r-u-r-rossumun-uluslararasi-robotlari.webp,"Yapay işçilerin üretildiği bir fabrikada robotlar insanlığa karşı ayaklanır; eser, robot sözcüğünü edebiyata kazandıran oyundur.",https://www.ithakiyayingrubu.com/r-u-r-rossumun-uluslararasi-robotlari
Zanzibar İstifi,JOHN BRUNNER,UĞUR GÜLSÜN,İthaki Yayınları,Bilimkurgu Klasikleri,9786052654651,,2023-01-01,"13,5 x 21",STAND ON ZANZİBAR,752,30%,"₺720,00","₺504,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/b019ed75-c73f-4e51-8597-747207f8efff_zanzbar-stf.webp,"Aşırı nüfusun ve medya bombardımanının şekillendirdiği 2010 dünyasında, çok sayıda yaşam küresel çöküşün eşiğinde kesişir.",https://www.ithakiyayingrubu.com/zanzibar-istifi
"Ben, Robot",ISAAC ASİMOV,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756040,,2023-01-01,"13,5 x 21",,240,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/8dae2bcd-3fb9-4778-b17c-439c525b9d37_ben-robot.webp,"Robot psikoloğu Susan Calvin'in anıları üzerinden, Üç Robot Yasası'nın beklenmedik sonuçlarını anlatan birbirine bağlı öyküler sunulur.",https://www.ithakiyayingrubu.com/ben-robot
Dune Sapkınları,FRANK HERBERT,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257737159,,2023-01-01,"13,5 x 21",,632,30%,"₺620,00","₺434,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/0bf46ded-a3bc-4d9a-93c9-243b8837c43b_dune-sapkinlari.webp,"Leto II'nin ölümünden sonra Arrakis'e dönen güç mücadeleleri, imparatorluğun mirası ve kumsolucanlarının geleceği etrafında yoğunlaşır.",https://www.ithakiyayingrubu.com/dune-sapkinlari
İşkencenin Gölgesi,GENE WOLFE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786057762368,,2023-01-01,"13,5 x 21",,328,30%,"₺375,00","₺262,50",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/847400e8-5471-4ceb-8990-cf34bd64e526_kencenn-glges.webp,"Cellat çırağı Severian, bağışladığı bir mahkûm yüzünden sürgüne gönderilir ve ölmekte olan Urth'ta destansı yolculuğuna başlar.",https://www.ithakiyayingrubu.com/iskencenin-golgesi
Tehlikeli Görüler,HARLAN ELLİSON,Kolektif,İthaki Yayınları,Bilimkurgu Klasikleri,9786052654774,,2023-01-01,"13,5 x 21",DANGEROUS VİSİONS,720,30%,"₺750,00","₺525,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/f2dccf0f-b38e-4f50-9071-d072c9a2c352_tehlkel-grler.webp,"Döneminin tabularını zorlayan yazarların savaş, cinsellik, din ve iktidar üzerine yazdığı çığır açıcı spekülatif öyküler antolojisi.",https://www.ithakiyayingrubu.com/tehlikeli-goruler
Mars Yıllıkları,RAY BRADBURY,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053758433,,2023-01-01,"13,5 x 21",,312,30%,"₺375,00","₺262,50",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/bb3c68a7-e211-4fbe-995e-c6460a5e80a6_mars-yilliklari.webp,"Dünya'dan Mars'a giden insanların karşılaşmaları, yerleşimleri ve felaketleri üzerinden iki dünyanın hüzünlü tarihi anlatılır.",https://www.ithakiyayingrubu.com/mars-yilliklari
Geri Giden Saat,EDWARD PAGE MİTCHELL,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257442602,,2023-01-01,"13,5 x 21",,144,30%,"₺180,00","₺126,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/53e82559-a419-4373-9788-fa501cf76c42_ger-gden-saat.webp,"Zamanın geriye akmasına yol açan bir buluşun, insan ilişkileri ve nedensellik üzerindeki tuhaf sonuçlarını işleyen öncü bilimkurgu öyküleri.",https://www.ithakiyayingrubu.com/geri-giden-saat
Koyunlar Yukarı Bakar,JOHN BRUNNER,CENK PAMAY,İthaki Yayınları,Bilimkurgu Klasikleri,9786258327199,,2023-01-01,"13,5 x 21",THE SHEEP LOOK UP,552,30%,"₺600,00","₺420,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/76e83cf1-46ce-46fe-b25c-4cb0a8bdfc59_koyunlar-yukari-bakar.webp,"Çevre felaketleriyle parçalanan yakın gelecekte, kirlilik ve siyasi ihmaller toplumun her düzeyinde yıkıma yol açar.",https://www.ithakiyayingrubu.com/koyunlar-yukari-bakar
2001: Bir Uzay Destanı,ARTHUR C. CLARKE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053755951,,2023-01-01,"13,5 x 21",,304,30%,"₺330,00","₺231,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/f60ab0b1-305b-4f0c-a003-d88f50a6e0c4_2001-br-uzay-destani.webp,"Ay'daki gizemli monolitin ardından Discovery One ekibi Jüpiter'e gider; görev, insanlığın evrimine dair kozmik bir sırla birleşir.",https://www.ithakiyayingrubu.com/2001-bir-uzay-destani
Özerkin Hisarı,GENE WOLFE,,İthaki Yayınları,Bilimkurgu Klasikleri,9786258401707,,2023-01-01,"13,5 x 21",,336,30%,"₺375,00","₺262,50",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/71b875e5-da41-496c-973c-f5d17db66523_zerkn-hsari.webp,"Severian, yeni Autarch'ın yanında savaş ve entrikaların içinden geçerken Urth'un yönetimine ve kendi kaderine yaklaşır.",https://www.ithakiyayingrubu.com/ozerkin-hisari
Bir Kadın Astronotun Anıları,NAOMİ MİTCHİSON,Serim As Özdemir,İthaki Yayınları,Bilimkurgu Klasikleri,9786258327410,,2023-01-01,"13,5 x 21",MEMOIRS OF A SPACEWOMAN,192,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/5192cb75-d97f-4330-844f-e3163d8ad1dd_br-kadin-astronotun-anilari.webp,"Uzak bir gezegene yapılan keşif seferinin tek kadın üyesi, bilinmeyen bir dünyada hayatta kalma ve anlaşılma mücadelesi verir.",https://www.ithakiyayingrubu.com/bir-kadin-astronotun-anilari
Cennetin Çeşmeleri,ARTHUR C. CLARKE,Gökçe Çiçek,İthaki Yayınları,Bilimkurgu Klasikleri,9786258327687,,2023-01-01,"13,5 x 21",THE FOUNTAİNS OF PARADİSE,336,30%,"₺350,00","₺245,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/2c8d9f11-6b57-4268-b362-b080034bde0e_cennetn-emeler.webp,"Bir mühendis, ekvator üzerindeki dev uzay asansörü projesini gerçekleştirirken teknolojik hırsın ve geçmiş inançların direnciyle karşılaşır.",https://www.ithakiyayingrubu.com/cennetin-cesmeleri
Ara İstasyon,CLİFFORD D. SİMAK,Sevda Deniz Karali,İthaki Yayınları,Bilimkurgu Klasikleri,9786052651902,,2023-01-01,"13,5 x 21",WAY STATİON,248,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/787b1d91-91da-4e3b-837b-e277aa857a16_ara-stasyon.webp,"Galaktik uygarlık için gizli bir aktarma noktası olan çiftlikte yaşayan Enoch Wallace, insanlıkla yıldızlar arasındaki bağın bekçiliğini yapar.",https://www.ithakiyayingrubu.com/ara-istasyon
Dune Çocukları,FRANK HERBERT,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756026,,2023-01-01,"13,5 x 21",,552,30%,"₺520,00","₺364,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/596b7fc7-d007-476f-b77d-4d55f72b2fd8_dune-ocuklari.webp,"Paul Atreides'in çocukları Leto ve Ghanima, Dune'daki imparatorluk entrikaları ve kendi kehanet dolu miraslarıyla mücadele eder.",https://www.ithakiyayingrubu.com/dune-cocuklari
