Temperature_C,Moisture_%,pH,Hive_Weight_kg
32.4,44.5,5.08,25.11
31.24,56.31,5.05,22.51
32.54,75.46,5.23,33.63
33.93,41.89,5.75,33.47
37.59,78.46,6.39,37.92
32.96,67.17,3.72,26.05
34.45,65.26,3.66,33.46
33.97,50.82,6.31,28.58
36.38,49.95,5.09,35.95
39.05,77.68,5.34,35.11
32.94,51.93,4.95,31.06
33.02,71.02,3.78,28.3
36.09,55.72,5.8,34.8
35.36,45.57,5.74,33.23
37.69,40.43,4.44,26.58
35.17,61.77,4.42,23.36
33.28,79.03,6.01,28.56
35.18,54.77,3.72,37.58
36.22,54.29,6.14,35.73
35.64,53.76,4.27,24.44
35.01,60.82,5.28,24.16
36.13,57.63,6.31,36.37
36.34,75.2,5.53,24.32
36.76,60.22,4.74,32.55
35.3,60.31,5.57,26.92
33.67,45.53,4.53,38.09
34.29,79.31,4.33,26.15
36.41,50.0,6.49,35.72
32.37,42.93,5.75,30.92
34.74,66.53,5.43,31.26
33.21,63.81,4.57,20.15
34.06,56.61,3.65,18.99
36.56,56.89,3.59,28.9
34.38,71.4,5.16,31.23
34.09,47.83,5.79,24.37
31.28,72.81,5.11,24.56
35.49,65.95,6.02,32.81
35.29,56.76,3.6,32.81
38.33,58.32,4.6,29.31
33.38,50.27,4.21,33.9
34.44,70.08,4.84,24.13
34.5,60.51,3.72,28.22
37.15,52.83,6.36,38.24
33.81,63.84,4.17,30.34
34.56,79.83,6.27,30.63
35.22,57.41,4.78,41.53
34.37,76.83,6.46,23.0
33.11,53.8,5.16,33.98
34.39,42.19,6.29,38.32
36.15,48.17,3.52,28.38
31.95,56.75,5.74,34.3
34.27,48.79,6.21,25.09
32.6,40.01,3.92,26.57
36.39,76.6,3.79,31.92
30.95,73.76,4.77,33.99
32.88,69.69,6.3,35.6
34.75,46.71,5.13,37.85
37.13,44.81,5.08,29.66
33.87,42.7,3.92,35.97
32.89,68.96,3.5,28.29
37.76,77.15,5.93,34.51
31.1,57.22,3.76,31.04
29.6,44.77,5.4,32.23
34.88,60.5,6.24,32.12
33.0,53.95,4.13,21.98
31.96,54.99,5.5,24.38
35.42,64.85,3.74,30.51
34.49,68.75,5.31,21.56
32.87,44.42,3.99,34.16
31.44,41.42,5.71,34.36
35.74,79.77,4.4,31.64
35.3,49.31,4.89,24.39
33.8,42.15,5.3,36.9
37.69,47.6,4.01,40.19
31.86,41.56,5.72,30.74
30.95,55.67,4.41,32.55
32.62,72.1,5.49,31.01
33.91,53.65,3.97,32.65
34.49,57.77,5.56,29.4
33.52,67.02,3.88,29.83
34.7,60.36,4.78,34.53
31.5,74.46,4.24,41.73
36.89,74.64,5.75,23.0
33.84,40.4,4.29,29.48
36.23,71.12,6.15,24.1
34.69,58.43,6.18,37.96
34.91,79.55,4.09,27.06
35.14,59.33,5.34,22.78
34.9,79.48,3.76,33.19
35.29,70.18,4.67,38.72
36.66,49.94,5.64,33.32
34.39,61.54,5.48,31.02
35.42,79.69,5.37,32.05
33.82,74.3,4.35,37.07
36.88,43.89,4.63,25.63
32.65,68.25,3.81,29.44
37.6,53.82,5.66,27.74
33.92,40.28,5.01,24.16
31.14,56.14,5.63,28.36
34.26,49.39,4.25,35.54
32.64,72.75,4.47,32.83
35.68,53.49,4.5,33.22
32.69,73.1,3.58,30.73
33.11,40.02,4.52,32.62
30.22,52.31,5.91,26.0
33.1,49.65,6.19,28.45
29.15,49.34,5.05,30.96
30.83,42.73,4.87,31.39
35.52,47.48,3.59,31.6
35.57,62.22,6.14,29.31
34.85,51.65,3.54,28.11
32.07,56.7,6.33,45.79
33.9,55.07,4.97,34.53
33.99,75.04,4.53,32.07
31.68,76.21,6.27,28.83
37.01,59.72,3.57,27.74
35.75,53.21,5.24,29.35
33.56,44.27,5.15,31.46
34.05,78.14,4.16,20.6
34.42,42.41,4.79,22.15
29.92,51.91,5.46,26.82
33.51,51.92,5.68,31.04
32.64,52.82,3.5,28.8
32.0,46.57,6.31,37.39
33.44,71.33,3.99,22.59
37.6,44.9,4.2,26.24
35.28,65.4,4.29,37.6
32.86,44.95,3.61,30.66
35.15,42.82,3.87,34.42
36.8,76.38,6.46,40.26
35.85,47.61,4.45,26.53
34.12,72.85,3.85,29.5
32.71,61.79,3.82,28.64
35.4,43.11,5.66,20.23
34.79,78.22,6.06,28.45
35.79,49.88,4.27,34.41
35.27,74.39,3.56,32.7
36.1,46.75,4.17,33.1
32.93,74.16,3.67,28.12
36.63,40.53,3.81,26.72
34.4,60.47,4.79,36.35
38.15,70.78,4.19,27.51
32.62,77.39,5.05,31.47
37.47,76.37,4.26,30.82
34.4,72.78,6.32,37.31
32.7,75.53,6.22,34.86
33.03,47.97,5.2,23.52
33.36,51.37,4.56,24.06
34.85,51.56,4.64,32.89
35.05,55.08,4.74,29.68
32.85,55.73,5.68,27.72
33.95,61.78,4.85,35.08
38.28,46.4,6.07,30.94
37.46,67.65,6.33,30.26
34.87,46.7,4.51,33.9
34.08,52.41,5.18,28.12
34.24,60.13,3.79,37.84
35.23,71.86,4.1,26.06
31.95,69.58,4.74,33.28
33.49,65.82,4.12,37.17
30.66,46.23,6.13,23.11
34.8,61.88,3.97,28.28
35.29,43.5,4.87,35.71
33.03,55.09,5.32,35.79
37.15,56.54,5.58,29.14
31.55,41.59,4.65,26.33
31.07,50.96,6.11,34.78
34.45,78.23,5.2,35.92
36.09,78.15,4.82,24.18
37.37,54.09,3.7,23.98
33.08,41.72,4.89,31.13
36.16,47.16,5.96,33.15
33.92,55.69,5.34,28.5
33.65,77.91,6.0,33.4
35.77,45.65,4.98,26.45
35.3,70.54,3.86,19.43
30.85,44.35,3.54,27.88
36.95,79.25,4.41,30.32
36.76,55.26,5.59,28.62
32.75,71.01,5.87,24.21
34.79,53.7,4.39,20.92
34.99,65.11,4.99,27.43
34.52,47.68,4.76,34.49
32.9,45.84,4.73,36.28
32.66,77.52,4.19,35.94
33.95,76.71,3.91,25.92
36.35,75.5,4.09,24.23
35.09,65.02,3.67,32.48
33.26,72.33,4.09,33.18
35.54,42.76,3.53,32.0
28.3,53.39,5.38,19.93
36.3,52.55,4.45,25.67
30.52,65.43,6.42,29.85
33.28,54.24,4.08,32.44
31.76,45.94,4.54,33.84
31.41,63.86,4.57,30.72
36.32,72.58,3.53,31.65
33.06,55.28,6.02,30.42
34.69,45.29,3.6,33.43
33.91,47.87,6.32,31.56
34.95,49.5,6.18,30.33
34.15,52.0,5.11,28.66
31.43,65.71,5.13,30.41
35.99,64.04,5.46,32.42
33.01,67.84,4.66,31.34
30.89,54.5,5.44,31.9
33.14,72.96,3.63,36.71
37.0,48.16,3.66,31.33
35.7,58.76,4.87,26.76
33.3,72.04,5.15,34.42
33.3,47.21,6.16,23.17
33.36,44.39,3.81,24.59
38.15,75.35,5.97,31.68
34.76,53.72,4.13,32.58
34.86,67.35,4.68,23.77
36.06,41.01,4.45,28.09
34.48,67.6,4.7,26.97
33.48,52.64,3.95,27.57
33.61,42.23,5.01,34.72
33.86,64.39,5.9,33.53
33.93,49.63,4.82,29.9
35.46,55.47,4.97,27.27
34.1,43.22,6.05,23.25
35.47,45.89,5.62,37.1
33.84,51.92,4.97,32.96
34.16,43.59,4.27,26.47
30.0,76.43,6.15,33.6
35.83,40.24,5.23,29.65
34.69,59.35,4.16,28.56
36.0,44.93,4.31,32.18
28.21,52.31,5.91,26.29
38.18,77.04,3.63,28.28
33.72,46.47,6.48,30.61
36.22,78.63,3.89,27.5
31.92,48.23,5.89,33.35
35.23,69.66,4.68,39.35
31.89,61.87,4.98,26.23
32.75,75.38,6.14,21.67
37.83,62.16,4.74,19.99
33.62,61.38,5.11,29.25
34.43,47.82,3.65,26.68
35.74,46.65,3.51,31.04
34.99,76.66,4.23,30.66
34.3,53.11,5.54,21.98
34.73,54.88,3.86,20.93
38.81,70.39,3.84,31.48
33.88,53.55,4.73,30.68
34.4,78.08,5.44,27.87
36.1,69.52,5.64,21.71
36.21,63.9,4.04,32.36
36.37,75.24,3.74,36.36
35.28,41.98,6.32,31.39
31.71,50.28,4.28,25.76
37.27,58.6,6.06,30.22
31.71,49.08,6.09,23.17
34.61,69.76,5.82,35.29
32.49,76.77,4.01,30.41
33.87,56.95,5.97,21.16
34.66,53.69,5.81,28.5
34.64,78.46,5.29,32.32
34.84,57.79,4.51,28.33
37.23,59.56,4.29,28.62
34.91,54.07,3.87,23.88
33.51,76.38,5.03,32.83
35.93,62.76,5.26,26.76
36.38,70.49,4.58,19.22
31.54,72.47,4.93,28.14
35.19,53.67,4.59,34.91
35.4,57.35,5.42,28.07
33.4,73.94,6.2,38.69
36.75,54.53,3.99,32.14
33.7,71.76,4.64,31.69
34.25,77.64,3.92,29.36
33.65,64.93,5.37,29.66
34.03,69.67,5.69,28.68
31.81,72.2,6.3,28.49
31.12,73.8,4.34,32.65
37.19,55.8,6.35,25.32
32.31,42.05,3.69,24.62
32.02,56.08,5.31,24.38
29.69,66.95,3.67,40.23
32.72,58.01,6.18,32.65
31.35,69.96,5.09,31.52
37.28,54.28,5.51,24.71
36.02,65.39,5.99,33.12
32.62,47.46,3.95,29.42
38.5,69.97,3.62,31.07
35.96,61.83,6.14,25.12
33.35,48.16,4.44,30.8
29.0,51.68,3.89,27.88
38.58,69.94,4.91,26.17
31.22,59.3,5.29,33.67
30.71,48.64,3.59,22.31
36.05,78.69,4.32,32.82
38.88,68.61,3.6,33.42
36.77,78.29,4.76,25.6
35.13,57.08,6.19,25.9
35.19,59.0,6.45,28.88
35.71,75.92,5.41,31.41
35.52,61.0,3.98,29.24
34.56,68.29,6.22,32.17
34.21,50.09,5.05,38.81
33.87,57.87,3.96,27.46
32.49,44.94,6.27,21.42
33.44,48.24,5.77,34.13
30.61,40.04,5.7,38.42
33.8,41.57,5.63,31.96
32.02,79.09,4.1,24.56
31.79,49.69,4.13,29.38
34.36,66.53,5.56,24.41
36.78,73.56,4.16,33.21
35.84,62.03,4.82,23.24
30.86,46.13,5.85,28.5
32.02,69.12,5.85,24.98
35.88,64.01,4.86,30.63
32.04,69.25,5.88,28.17
33.55,70.79,6.02,30.88
35.1,79.02,5.46,30.11
32.06,62.94,4.19,25.07
34.21,53.67,4.32,33.13
31.33,65.94,4.44,29.76
32.8,42.74,3.85,25.06
34.64,75.9,4.32,41.2
30.81,44.78,4.13,32.38
34.88,53.11,4.87,29.23
33.96,72.63,6.23,37.08
35.1,63.89,3.81,39.21
34.45,55.75,5.66,29.27
36.73,58.94,5.56,31.74
34.25,74.18,3.79,25.06
33.14,53.6,6.27,29.26
34.24,74.79,5.21,29.0
35.09,43.53,4.59,30.92
34.1,71.07,5.77,31.66
34.08,73.9,4.27,32.8
32.6,47.27,5.58,31.19
32.67,57.21,3.62,23.95
31.19,46.62,6.02,25.31
37.5,68.26,4.84,27.27
31.51,61.41,5.41,28.59
32.61,65.41,4.16,35.25
32.56,47.86,5.53,24.19
35.79,48.47,5.82,28.21
33.41,41.66,4.92,34.77
36.5,52.88,5.35,28.5
32.65,62.39,4.87,32.3
34.56,74.32,6.18,29.3
32.33,66.68,4.99,31.28
38.29,57.42,6.03,28.86
31.62,78.12,5.9,33.34
34.62,68.77,4.73,22.27
35.27,77.21,4.19,28.18
34.83,61.1,4.72,31.48
33.63,50.36,5.98,32.67
33.74,42.11,4.18,37.46
34.09,69.04,5.07,28.04
33.71,44.85,5.92,37.4
35.93,52.11,4.56,26.7
38.42,61.3,5.43,36.64
32.89,62.58,4.24,34.09
31.26,64.02,3.83,25.43
33.82,46.65,5.88,31.54
39.16,55.19,3.8,29.74
32.39,64.69,4.31,33.13
37.28,78.79,6.07,28.88
37.36,69.11,4.54,28.46
32.89,76.9,6.42,36.85
35.14,70.49,6.44,29.51
37.26,63.67,4.3,34.13
33.24,47.68,3.62,28.87
33.59,66.67,5.62,38.33
32.84,64.94,4.85,26.61
31.97,64.1,3.8,26.93
32.7,59.59,5.62,37.62
31.55,61.15,3.59,27.78
34.07,53.38,6.11,38.01
32.46,60.77,3.92,34.46
34.47,47.9,3.88,29.23
30.89,72.21,4.03,20.93
34.66,47.43,6.38,29.9
35.67,43.4,5.58,30.51
30.01,57.45,5.9,35.84
34.75,66.33,4.69,37.94
36.46,57.51,4.51,26.58
31.58,51.07,4.2,34.01
37.35,62.33,4.94,33.83
34.84,53.88,5.16,35.37
32.59,77.31,5.4,32.49
33.89,76.91,4.27,20.29
35.12,60.09,6.35,29.22
34.15,53.12,4.01,24.22
35.08,69.49,6.4,28.99
32.16,41.47,3.54,34.9
34.34,58.99,4.94,31.53
31.17,53.45,4.5,35.74
33.78,76.82,4.85,31.71
32.19,40.48,5.21,23.51
32.53,62.11,4.81,17.4
36.47,69.63,4.74,30.74
36.18,59.4,5.7,28.93
35.22,43.42,5.56,25.12
31.82,78.9,6.0,21.5
33.37,60.72,4.25,26.33
36.43,64.57,5.33,29.03
34.28,49.46,5.26,33.33
38.64,59.34,4.61,30.94
34.79,57.17,4.96,38.04
34.38,43.0,4.44,24.82
33.38,44.25,3.93,34.41
34.27,73.5,4.14,30.24
33.7,49.59,3.82,33.47
35.42,47.8,5.55,27.82
35.91,60.2,5.48,35.36
32.43,70.75,6.35,31.48
31.34,42.48,5.69,26.6
30.33,63.07,3.66,29.94
35.02,44.77,6.15,28.8
31.79,41.46,6.09,32.45
29.69,42.11,4.83,24.1
34.78,73.37,5.26,29.85
38.99,44.72,6.43,31.98
33.99,41.81,5.1,30.17
35.68,57.52,6.22,36.73
34.16,73.76,3.75,33.87
33.8,50.5,4.07,29.96
35.84,56.87,4.82,31.08
33.42,41.6,5.25,31.48
34.53,57.96,5.95,32.02
34.64,63.1,6.46,20.87
32.66,62.84,4.67,28.49
35.98,53.3,3.64,22.58
33.65,52.62,5.9,36.39
32.49,44.26,5.31,29.7
35.07,54.67,4.1,29.03
32.2,43.98,4.98,34.48
34.06,70.66,5.73,32.11
33.98,78.65,5.81,24.36
36.17,78.8,5.0,29.65
34.95,74.6,4.42,28.32
33.95,64.03,6.42,21.28
35.64,68.03,5.49,26.55
36.78,51.41,4.72,29.08
35.12,65.23,4.34,29.43
34.02,58.23,5.69,22.59
31.38,59.28,4.23,35.76
31.87,70.31,4.02,29.49
33.39,51.28,5.09,30.19
32.78,52.72,4.37,32.0
33.63,76.99,5.39,26.06
34.11,42.25,3.85,32.28
35.06,59.43,5.46,28.16
33.86,76.51,4.35,25.52
34.97,64.41,3.5,32.87
34.13,61.86,3.88,37.46
30.05,49.99,6.3,33.62
32.12,53.73,6.1,34.61
33.71,74.08,4.2,27.4
31.58,62.37,5.84,22.01
35.2,60.59,5.33,37.45
37.06,43.98,6.41,40.27
36.44,40.64,4.62,37.71
33.57,78.55,5.54,28.32
36.98,55.08,3.69,24.23
34.3,64.13,4.69,24.67
33.33,43.19,6.39,21.58
32.77,67.32,5.12,29.46
33.4,77.3,4.36,38.03
33.22,63.03,3.86,29.29
34.34,45.04,5.61,31.51
34.32,63.27,5.43,36.88
34.01,70.65,4.62,27.98
34.87,56.26,6.35,40.18
36.38,75.19,3.57,39.96
35.9,65.95,4.41,29.34
31.03,75.97,6.26,27.11
28.89,64.94,4.46,33.49
35.87,45.25,4.26,28.26
31.27,52.39,5.1,24.22
33.55,48.07,5.97,36.41
31.66,76.35,3.81,36.08
30.4,70.42,6.33,30.78
35.08,67.06,5.89,23.69
35.52,52.04,4.04,23.85
32.85,47.36,5.64,30.54
28.82,70.26,4.65,27.5
32.91,58.97,4.71,28.29
34.78,49.03,5.85,35.11
31.04,64.66,6.39,33.67
34.37,41.61,3.88,36.89
33.97,53.05,4.76,25.05
35.16,58.74,4.94,28.28
34.24,45.92,4.63,33.79
32.05,79.39,4.59,32.24
36.39,48.36,3.66,37.66
33.68,45.21,5.56,32.1
33.95,48.14,4.81,39.24
32.13,70.76,4.08,32.7
33.11,57.02,5.95,35.31
32.23,62.62,5.91,28.38
33.65,40.84,4.96,30.07
37.42,41.38,4.4,34.55
31.26,57.83,5.41,38.06
30.77,72.67,4.36,33.65
36.94,75.41,4.21,29.58
33.58,43.47,5.69,36.89
32.66,61.53,3.62,19.04
36.08,76.53,3.78,22.89
32.79,55.52,3.52,33.41
37.65,73.18,3.96,30.07
35.36,45.35,3.71,33.03
33.02,77.42,6.49,30.32
38.31,70.06,4.37,32.85
32.79,77.65,3.95,25.93
35.48,67.06,4.22,32.85
34.6,54.54,6.31,34.97
36.6,77.53,5.06,36.1
37.12,51.02,4.59,40.07
34.06,53.29,6.12,31.22
32.49,68.03,4.68,31.37
34.92,70.61,4.51,22.38
32.64,77.18,4.12,27.34
38.03,48.19,4.63,29.03
34.27,71.92,4.45,35.25
33.27,69.54,5.53,26.94
34.37,42.55,4.37,33.98
31.31,55.49,5.23,29.99
32.06,51.31,3.7,29.11
36.4,52.18,4.07,31.24
32.69,79.32,4.72,28.04
31.91,65.71,6.31,27.85
35.07,68.71,4.63,21.48
36.37,79.06,5.49,28.76
35.44,55.09,4.27,27.6
35.99,72.07,3.88,27.42
32.49,57.38,3.68,32.08
31.16,74.78,4.42,33.29
37.0,47.23,3.97,31.16
33.35,77.91,4.02,34.98
33.5,48.75,5.78,32.88
36.66,53.05,3.55,28.52
35.11,70.25,5.17,27.69
34.91,55.75,4.64,31.56
38.33,64.33,5.02,32.87
32.71,57.78,5.19,36.99
35.86,69.69,4.44,35.96
34.11,49.13,4.39,27.29
34.54,42.34,5.7,29.49
37.06,52.0,6.11,33.36
35.02,58.97,4.08,35.34
35.08,46.72,3.79,34.69
36.15,54.19,6.19,29.68
33.27,56.0,4.55,23.73
32.32,42.3,5.15,25.01
31.91,63.33,4.58,31.36
30.07,75.37,3.88,31.71
38.11,46.07,5.27,24.51
31.79,63.91,5.08,30.22
33.56,66.59,4.11,33.16
33.45,56.77,4.86,24.24
34.61,68.04,5.89,35.52
35.63,56.43,5.27,28.11
35.72,60.19,3.79,36.29
32.83,40.29,5.14,27.33
33.67,67.67,5.61,24.87
34.57,66.45,5.88,27.71
33.5,41.54,5.39,29.52
37.21,54.73,3.96,28.06
34.98,79.16,5.63,28.92
35.47,56.83,5.53,31.67
35.33,60.08,3.57,29.14
36.35,76.4,4.74,29.67
34.36,68.69,4.5,21.45
31.41,63.28,5.51,31.96
34.8,71.91,4.15,29.55
32.7,74.57,5.27,38.05
32.94,58.28,6.24,25.3
35.17,59.0,5.89,20.96
36.48,55.44,6.26,33.09
34.04,78.67,6.44,31.73
34.62,67.89,3.53,24.96
37.4,43.33,5.37,22.35
34.48,74.52,4.74,37.69
39.2,59.22,6.08,37.07
35.13,42.75,4.26,17.56
30.48,61.99,6.44,27.71
35.51,56.69,5.34,38.32
34.76,75.11,5.88,27.62
36.58,48.16,3.76,27.55
35.35,73.06,4.05,28.59
33.72,62.31,5.78,24.4
31.55,42.18,3.57,21.48
33.58,78.87,5.95,35.26
32.3,60.5,3.54,20.79
32.84,51.64,5.47,31.24
35.18,58.78,4.6,34.43
37.34,74.31,5.33,22.74
34.79,52.2,5.59,25.38
31.61,47.71,4.53,36.07
34.89,45.16,3.82,32.66
36.39,51.91,3.71,26.91
32.78,71.2,5.27,36.01
33.73,58.87,5.06,36.03
34.03,49.1,5.73,31.35
32.43,46.65,5.03,25.5
35.3,53.31,4.77,27.93
33.76,77.6,4.69,31.43
34.84,53.72,3.58,29.06
32.23,79.52,4.51,34.69
33.13,59.41,6.43,22.35
35.44,47.17,6.12,22.53
33.25,75.65,4.49,30.9
37.45,58.41,5.26,27.54
33.2,68.39,6.04,26.86
34.45,79.35,4.82,21.16
35.87,42.01,3.55,30.1
31.16,43.87,3.72,29.74
30.48,68.82,5.03,33.27
30.95,51.27,6.41,30.34
36.53,47.37,5.58,29.34
32.9,41.57,3.71,35.89
39.12,40.87,4.07,23.44
32.87,70.98,5.81,32.68
34.37,45.38,6.02,21.64
37.08,58.71,5.35,25.81
38.01,64.24,5.43,23.94
38.12,57.13,3.59,33.91
36.42,41.08,5.99,29.67
36.05,71.34,5.86,29.93
35.19,40.42,4.28,24.47
35.56,70.48,5.63,28.5
32.9,75.73,4.14,26.18
32.36,57.31,3.62,31.92
33.99,61.42,4.1,25.04
33.66,59.08,4.04,36.65
33.09,55.57,4.51,21.62
35.39,75.5,4.76,25.97
35.91,75.76,5.03,38.39
34.18,53.43,4.93,27.82
36.96,64.6,4.31,23.43
31.72,77.08,3.59,31.1
33.61,78.48,5.32,27.62
32.57,60.36,4.69,25.82
30.27,58.11,4.4,24.52
33.83,51.15,6.1,43.84
33.76,78.35,5.74,28.74
37.03,45.71,6.07,20.37
35.26,63.19,4.98,37.47
31.95,51.3,3.89,33.06
37.71,51.16,5.59,26.17
36.44,56.2,4.12,25.33
35.16,79.95,4.82,33.37
33.55,42.2,3.7,28.77
32.08,63.14,5.98,20.37
33.26,43.3,3.88,38.94
36.18,46.18,6.21,27.83
37.77,57.58,6.09,37.48
37.09,60.42,4.89,36.39
33.02,50.35,5.73,24.99
31.76,52.66,5.36,35.17
34.28,43.48,5.91,26.74
30.46,52.13,4.8,20.67
34.65,78.66,5.86,27.88
33.7,77.79,4.89,31.99
33.07,53.4,6.32,27.69
30.81,62.83,4.96,28.46
35.03,76.38,4.89,35.72
32.93,40.25,5.86,30.53
31.66,72.43,5.96,25.78
28.26,77.93,5.16,33.51
33.94,43.65,4.04,30.99
37.54,46.46,4.9,17.39
37.32,78.43,6.4,32.14
33.09,61.5,5.76,31.96
32.8,40.57,5.93,30.1
34.94,50.31,3.6,34.46
32.0,58.0,4.9,26.64
34.6,67.72,5.44,31.68
35.53,69.33,5.99,22.17
36.45,79.82,3.65,32.04
33.8,51.5,6.06,39.77
33.59,61.53,5.15,25.03
32.24,61.33,4.09,26.2
32.35,56.23,4.45,26.45
33.55,46.77,4.35,30.65
34.73,79.1,5.09,24.68
35.83,74.13,3.66,32.11
32.39,59.93,3.98,34.23
36.99,64.13,5.94,32.67
33.46,49.09,3.9,21.16
33.96,61.75,4.2,34.98
32.51,67.8,4.86,34.69
29.15,60.61,5.05,34.15
35.77,79.61,5.79,31.86
35.47,64.45,4.84,31.1
33.44,54.84,5.87,35.16
34.13,70.89,5.36,39.62
35.03,46.82,3.84,25.23
30.87,55.38,3.97,35.39
32.94,53.88,4.81,29.57
35.59,57.27,4.69,29.35
31.49,71.27,5.73,22.32
34.59,59.37,5.24,28.58
31.29,71.76,4.66,25.01
34.93,63.06,4.01,27.68
33.93,53.68,4.18,24.51
30.77,72.4,5.23,27.76
36.33,49.53,4.77,27.97
32.53,48.98,5.04,30.48
32.38,60.18,4.01,21.93
34.4,50.43,5.49,22.77
36.3,40.36,6.06,31.81
31.97,65.93,4.27,26.01
34.12,60.44,4.97,35.37
34.86,57.82,6.43,31.13
35.39,78.68,4.5,33.03
34.35,62.85,5.29,37.05
33.27,74.54,3.77,28.45
32.34,45.58,5.32,27.13
34.17,62.77,3.77,34.36
31.86,74.72,6.38,32.55
28.16,63.32,5.65,29.06
34.87,68.72,5.86,36.96
35.81,54.88,5.61,28.94
29.27,43.7,5.27,30.16
31.98,58.32,4.85,30.11
35.24,55.78,6.08,25.33
38.11,74.68,6.37,30.39
34.04,49.76,5.0,36.98
32.54,78.67,6.29,32.22
33.63,78.33,5.25,30.16
36.75,49.91,5.12,29.19
32.71,53.92,4.86,31.65
32.4,75.82,4.13,33.75
33.03,78.66,3.51,33.05
32.09,57.74,4.22,28.34
34.25,52.84,5.03,31.62
37.25,61.04,4.64,32.4
34.65,67.51,4.85,24.96
33.5,50.94,6.44,30.84
33.42,69.46,4.55,19.19
30.87,42.07,4.86,32.41
35.77,41.97,3.9,33.3
33.84,55.45,3.64,33.74
33.64,54.14,5.83,28.02
40.39,52.63,5.21,31.55
34.6,59.64,5.78,37.12
32.5,52.83,3.95,37.07
33.15,47.69,5.22,29.85
36.3,52.38,4.26,30.7
34.23,79.0,4.18,35.55
31.12,56.44,3.53,22.5
35.84,57.79,3.89,28.38
32.66,63.06,4.43,36.68
37.75,79.33,3.85,34.88
36.16,49.66,6.46,31.85
33.11,67.25,4.43,22.47
36.56,68.64,3.89,29.75
34.14,64.29,4.1,27.05
35.71,43.54,5.26,31.66
34.97,67.07,3.69,25.95
32.31,42.56,6.09,24.87
32.71,63.85,6.38,19.68
36.06,69.58,4.24,36.11
33.33,48.44,4.85,28.0
33.19,73.66,3.57,30.79
32.09,41.21,5.42,29.99
34.85,73.75,4.74,24.66
38.13,58.41,4.31,23.7
31.86,48.7,4.12,24.97
34.05,45.35,5.46,26.38
36.82,78.13,4.75,31.83
33.84,42.91,4.04,26.02
34.9,47.96,5.57,38.73
31.88,53.91,5.2,35.14
34.86,64.81,6.08,34.04
33.63,61.79,3.85,29.4
35.97,45.03,5.86,37.57
36.37,51.59,5.52,28.91
39.18,49.55,3.85,29.84
35.16,48.54,5.58,30.85
34.65,56.45,4.82,33.51
34.39,68.16,6.33,33.18
33.29,48.7,3.92,27.62
34.68,54.67,5.43,27.34
33.41,55.64,4.65,33.2
34.34,79.06,6.37,33.58
36.64,78.19,4.49,28.03
31.99,72.01,6.39,22.06
36.28,49.67,6.2,28.96
36.63,42.72,4.31,33.12
33.76,52.68,5.91,39.03
29.76,50.67,6.49,24.01
32.78,60.24,4.26,27.87
36.59,71.11,4.81,28.05
33.95,74.33,5.06,36.78
32.0,73.79,4.38,29.83
32.99,54.39,3.55,25.46
35.68,67.49,4.16,32.79
35.09,52.51,4.35,27.98
33.52,42.44,4.83,23.88
33.27,68.06,4.01,25.54
33.22,40.39,6.12,38.67
32.16,56.37,5.61,31.92
37.23,53.18,3.76,30.54
33.36,67.74,5.45,28.75
36.43,70.65,5.46,31.46
37.04,52.16,6.37,31.4
36.0,72.47,3.51,31.46
33.14,51.76,4.24,30.57
34.81,57.85,6.28,34.34
33.95,69.08,6.3,30.12
32.19,67.72,5.66,25.11
34.65,79.49,5.8,26.94
31.64,49.01,3.77,20.1
36.38,66.49,5.04,40.13
33.07,64.39,4.19,34.31
34.4,76.6,4.04,25.85
34.57,46.25,5.93,28.59
33.48,70.07,3.91,26.82
35.17,62.73,4.91,37.71
33.05,50.99,6.32,22.9
35.74,58.98,4.06,30.57
31.31,53.35,6.43,29.46
34.25,63.17,6.48,34.13
37.88,75.56,5.17,29.48
32.0,62.77,4.01,21.21
32.64,65.27,4.45,28.74
35.03,60.75,4.77,25.14
34.36,42.05,4.43,30.4
34.7,49.31,4.34,37.17
34.98,59.68,6.42,21.3
35.27,52.41,3.96,26.0
36.22,47.27,5.7,27.24
34.82,60.17,3.5,28.09
33.52,52.91,5.29,33.7
35.35,50.32,6.25,29.13
37.8,58.56,4.36,32.08
33.73,45.33,4.06,26.87
32.05,77.11,5.46,31.15
36.21,74.71,5.64,33.89
33.76,68.3,5.56,26.34
29.65,44.25,4.46,33.91
35.69,71.04,4.26,30.26
32.93,72.32,6.37,35.23
33.82,70.71,6.27,28.99
34.66,44.56,4.87,31.91
34.38,65.76,6.04,29.8
35.42,73.37,4.86,29.52
33.13,63.09,4.77,31.29
35.03,65.86,3.97,32.68
33.48,58.33,4.78,23.75
35.48,61.15,5.11,37.17
35.23,41.38,3.57,20.7
32.13,65.56,4.83,26.58
36.17,43.26,5.84,29.53
32.93,57.4,5.54,32.06
35.62,51.71,5.41,37.88
34.73,61.82,6.23,20.71
37.68,45.34,3.55,27.46
33.55,67.67,5.17,19.37
33.3,71.8,5.86,30.16
33.96,46.53,5.12,31.36
33.39,44.17,4.47,37.95
35.6,45.82,3.91,30.6
30.77,75.09,6.16,35.22
31.89,61.13,4.91,32.92
31.86,58.69,6.13,27.82
35.9,44.27,5.26,22.96
37.42,65.98,5.52,31.38
33.79,74.72,5.91,22.54
33.66,73.13,5.48,36.48
34.14,65.04,4.69,29.19
36.32,43.01,5.04,35.98
